Name,Score,Characters,Team,Total Played,Win %,Last Match
ViT,3970,Captain Falcon,Toledo,58,50,5/31/2017
kort,3969,Fox,,6,66,7/5/2017
Life,3967,,,18,61,1/14/2017
L3375,3966,Ganondorf,,105,44,7/31/2017
Sunn,3956,,,12,66,1/18/2017
Action Master,3949,,,27,51,10/6/2017
stif,3932,Marth; Fox,,45,42,10/6/2017
Ozone,3923,Captain Falcon,Lansing,55,45,10/12/2017
Randomman,3920,,,4,75,10/15/2017
Empty Spirits,3919,Fox,Toledo,73,41,10/11/2017
Failaa,3915,,,7,85,9/5/2017
Shimo,3910,,,63,47,9/15/2017
BofaDAFalcoMeme,3908,,,5,60,7/6/2017
Danny,3907,,,9,77,9/5/2017
(BC) BOR,3886,,<< Out of region >>,5,60,10/7/2017
(CT) Arty,3877,,,4,75,10/7/2017
Ryejew,3876,Fox,,4,50,7/20/2017
Cholo Steve,3867,Falco,Kalamazoo,24,37,10/6/2017
Squishy Boy,3863,Sheik,,62,45,10/5/2017
Dux,3863,Sheik,,30,50,10/15/2017
Neth,3845,,,11,54,2/25/2017
Coburn,3843,,,6,66,5/27/2017
Keff,3839,Falco,Ann Arbor,47,53,9/5/2017
Korbo,3839,,,10,60,9/16/2017
Lamp Camp,3832,,,5,80,10/6/2017
Lando,3817,Sheik,,75,44,10/12/2017
Joba,3808,Sheik,,13,61,4/22/2017
Yata!,3794,Sheik,Grand Rapids,35,45,8/1/2017
Poi,3793,Sheik; Marth,,63,46,10/1/2017
Tequila,3782,Falco,Ypsilanti,52,40,10/6/2017
Shark,3777,Falco,,93,41,10/6/2017
ShyDude,3772,,,100,47,10/11/2017
Brum,3763,Ice Climbers; Sheik,,58,50,10/6/2017
Moggle,3760,Falco,Ann Arbor,39,33,10/6/2017
Kira,3757,Fox,,26,57,7/20/2017
Poxx,3756,Fox,,56,48,6/7/2017
Dirty Cheeser,3746,,,5,60,9/18/2017
CTL,3738,,,11,63,2/13/2017
Fate,3733,Falco,Ann Arbor,40,50,9/27/2017
Boy,3724,,,21,57,7/17/2017
Spilled Milk,3719,,,5,60,6/26/2017
Dre,3707,Marth,West Bloomfield,33,45,10/6/2017
